City,Date,AQI,pct_Traffic,pct_Construction_Dust,pct_Industrial,pct_Crop_Biomass Burning,pct_Secondary_Photochemical,top_source,confidence_pct
Delhi,2015-04-04,229.0,32.8,13.0,22.6,15.3,16.3,Traffic,63.3
Delhi,2015-04-05,234.0,26.9,18.4,20.2,13.9,20.6,Traffic,58.2
Delhi,2015-04-06,343.0,29.5,15.7,20.9,18.1,15.8,Traffic,61.2
Delhi,2015-04-07,262.0,31.7,13.9,11.5,15.4,27.4,Traffic,55.6
Delhi,2015-04-08,308.0,27.7,11.6,20.2,14.6,25.8,Traffic,52.5
Delhi,2015-04-09,293.0,30.2,25.0,14.0,12.2,18.7,Traffic,56.8
Delhi,2015-04-10,290.0,28.3,18.7,16.5,13.3,23.2,Traffic,56.6
Delhi,2015-04-11,375.0,27.9,15.5,18.8,14.4,23.6,Traffic,55.6
Delhi,2015-04-12,293.0,32.4,11.6,17.3,13.9,24.8,Traffic,59.9
Delhi,2015-04-13,247.0,30.4,11.9,17.5,14.0,26.1,Traffic,55.6
Delhi,2015-04-14,232.0,29.3,16.4,16.7,13.0,24.6,Traffic,56.1
Delhi,2015-04-15,316.0,33.4,15.9,17.9,16.5,16.3,Traffic,70.2
Delhi,2015-04-16,295.0,26.9,17.8,20.0,12.2,23.1,Traffic,54.9
Delhi,2015-04-17,246.0,27.2,23.5,15.8,10.9,22.7,Traffic,54.8
Delhi,2015-04-18,378.0,27.3,18.9,16.7,14.0,23.1,Traffic,55.5
Delhi,2015-04-19,406.0,27.9,19.6,16.6,13.7,22.2,Traffic,57.4
Delhi,2015-04-20,392.0,26.6,20.3,17.3,13.0,22.8,Traffic,54.9
Delhi,2015-04-21,391.0,26.1,21.1,17.0,13.1,22.8,Traffic,54.3
Delhi,2015-04-22,368.0,26.9,20.9,17.1,12.5,22.6,Traffic,55.6
Delhi,2015-04-23,365.0,27.8,18.4,17.9,13.1,22.7,Traffic,56.6
Delhi,2015-04-24,383.0,27.5,17.4,18.6,13.7,22.8,Traffic,56.1
Delhi,2015-04-25,367.0,26.8,21.3,15.9,12.6,23.4,Traffic,54.4
Delhi,2015-04-26,334.0,25.8,22.2,14.7,11.0,26.4,Secondary/Photochemical,50.8
Delhi,2015-04-27,258.0,26.4,22.9,13.9,11.1,25.7,Traffic,50.9
Delhi,2015-04-28,234.0,27.1,16.3,16.4,13.2,26.9,Traffic,50.3
Delhi,2015-04-29,257.0,28.4,19.4,16.1,10.9,25.2,Traffic,54.2
Delhi,2015-04-30,259.0,27.6,23.8,14.6,10.3,23.8,Traffic,54.9
Delhi,2015-05-01,279.0,27.8,22.6,15.0,12.1,22.5,Traffic,56.8
Delhi,2015-05-02,312.0,29.7,23.1,16.7,11.3,19.3,Traffic,58.6
Delhi,2015-05-03,372.0,29.1,21.3,17.6,13.8,18.1,Traffic,60.1
Delhi,2015-05-04,387.0,29.6,22.8,17.0,13.5,17.1,Traffic,58.8
Delhi,2015-05-05,408.0,28.0,19.5,18.9,14.1,19.5,Traffic,61.0
Delhi,2015-05-06,398.0,27.6,16.4,18.5,14.5,23.0,Traffic,56.0
Delhi,2015-05-07,403.0,26.7,20.5,18.1,12.7,22.0,Traffic,56.1
Delhi,2015-05-08,361.0,26.5,21.9,17.4,11.7,22.5,Traffic,55.2
Delhi,2015-05-09,378.0,27.6,20.4,16.5,12.7,22.9,Traffic,56.1
Delhi,2015-05-10,381.0,27.6,21.3,16.0,12.6,22.6,Traffic,56.5
Delhi,2015-05-11,388.0,25.7,22.8,15.0,12.5,24.0,Traffic,52.2
Delhi,2015-05-12,346.0,26.4,23.4,12.3,13.0,24.9,Traffic,52.0
Delhi,2015-05-13,328.0,30.5,20.3,11.0,13.7,24.5,Traffic,57.8
Delhi,2015-05-14,291.0,28.1,22.9,12.4,12.6,24.0,Traffic,55.3
Delhi,2015-05-15,396.0,28.5,20.0,15.0,12.7,23.7,Traffic,56.2
Delhi,2015-05-16,297.0,29.3,20.1,15.3,11.4,23.9,Traffic,57.0
Delhi,2015-05-17,345.0,28.3,16.7,18.4,12.9,23.7,Traffic,56.0
Delhi,2015-05-18,296.0,27.4,21.5,15.7,10.6,24.8,Traffic,53.4
Delhi,2015-05-19,319.0,28.8,20.9,14.6,12.1,23.7,Traffic,56.6
Delhi,2015-05-20,282.0,27.5,21.3,18.6,10.5,22.0,Traffic,57.2
Delhi,2015-05-21,352.0,28.5,25.1,15.7,11.6,19.1,Traffic,54.4
Delhi,2015-05-22,338.0,28.0,23.5,15.1,10.5,22.9,Traffic,55.8
Delhi,2015-05-23,321.0,28.2,24.9,12.2,10.9,23.9,Traffic,54.3
Delhi,2015-05-24,295.0,27.3,22.4,17.2,11.3,21.8,Traffic,56.4
Delhi,2015-05-25,344.0,27.7,21.8,12.7,13.5,24.3,Traffic,54.4
Delhi,2015-05-26,337.0,27.6,23.6,11.3,12.9,24.6,Traffic,53.9
Delhi,2015-05-27,355.0,28.2,20.8,16.2,11.6,23.3,Traffic,56.4
Delhi,2015-05-28,371.0,28.1,19.1,14.1,15.3,23.3,Traffic,56.2
Delhi,2015-05-29,414.0,28.6,20.8,13.7,13.2,23.8,Traffic,56.2
Delhi,2015-05-30,366.0,28.0,20.4,16.5,12.1,22.9,Traffic,56.6
Delhi,2015-05-31,346.0,26.2,23.5,14.1,11.2,25.0,Traffic,51.6
Delhi,2015-06-01,289.0,28.4,25.5,11.7,9.0,25.4,Traffic,53.8
Delhi,2015-06-02,297.0,32.6,22.5,9.1,10.0,25.7,Traffic,59.0
Delhi,2015-06-03,268.0,35.3,22.0,9.0,12.2,21.6,Traffic,67.3
Delhi,2015-06-04,259.0,32.3,19.1,8.6,13.9,26.1,Traffic,58.1
Delhi,2015-06-05,327.0,31.4,24.8,8.4,12.9,22.4,Traffic,58.6
Delhi,2015-06-06,384.0,33.6,27.8,9.7,9.3,19.5,Traffic,57.5
Delhi,2015-06-07,299.0,30.8,19.5,11.0,12.7,26.1,Traffic,56.1
Delhi,2015-06-08,282.0,29.3,17.4,12.0,15.6,25.6,Traffic,54.8
Delhi,2015-06-09,442.0,27.8,23.4,10.2,15.5,22.9,Traffic,55.7
Delhi,2015-06-10,309.0,26.8,26.2,8.8,11.8,26.4,Traffic,50.5
Delhi,2015-06-11,270.0,21.7,22.1,8.8,16.7,30.8,Secondary/Photochemical,61.3
Delhi,2015-06-12,239.0,23.0,23.1,8.7,15.1,30.1,Secondary/Photochemical,59.1
Delhi,2015-06-13,214.0,29.1,22.7,8.6,13.6,25.9,Traffic,54.2
Delhi,2015-06-14,166.0,32.5,16.0,8.6,14.0,28.8,Traffic,54.8
Delhi,2015-06-15,234.0,30.3,18.2,8.8,15.0,27.6,Traffic,53.5
Delhi,2015-06-16,331.0,29.9,19.4,8.7,15.9,26.1,Traffic,54.9
Delhi,2015-06-17,327.0,29.2,20.1,9.0,15.6,26.0,Traffic,54.2
Delhi,2015-06-18,313.0,29.9,18.1,10.8,15.4,25.8,Traffic,55.3
Delhi,2015-06-19,284.0,28.8,18.6,9.6,15.6,27.4,Traffic,51.8
Delhi,2015-06-20,239.0,26.7,19.5,12.6,13.5,27.7,Secondary/Photochemical,51.3
Delhi,2015-06-21,149.0,34.5,12.8,9.1,13.3,30.3,Traffic,55.5
Delhi,2015-06-22,172.0,30.8,16.0,9.0,15.7,28.6,Traffic,52.9
Delhi,2015-06-23,226.0,30.4,13.5,9.9,16.3,29.8,Traffic,50.8
Delhi,2015-06-24,261.0,28.6,16.1,9.9,17.0,28.4,Traffic,50.3
Delhi,2015-06-25,188.0,30.4,19.3,10.7,9.2,30.5,Secondary/Photochemical,50.1
Delhi,2015-06-26,192.0,23.6,25.2,9.2,13.9,28.1,Secondary/Photochemical,53.8
Delhi,2015-06-27,207.0,21.8,29.1,9.6,13.2,26.3,Construction/Dust,53.6
Delhi,2015-06-28,219.0,24.0,26.2,9.5,13.9,26.4,Secondary/Photochemical,50.3
Delhi,2015-06-29,193.0,24.2,24.2,10.4,11.0,30.2,Secondary/Photochemical,57.8
Delhi,2015-06-30,170.0,24.4,22.8,12.1,11.0,29.6,Secondary/Photochemical,56.8
Delhi,2015-07-01,185.0,24.3,24.7,11.2,11.3,28.5,Secondary/Photochemical,54.9
Delhi,2015-07-02,220.0,25.4,25.9,9.1,12.2,27.4,Secondary/Photochemical,52.0
Delhi,2015-07-03,225.0,20.9,29.3,11.0,11.9,26.9,Construction/Dust,53.1
Delhi,2015-07-04,250.0,21.0,25.8,9.5,15.9,27.7,Secondary/Photochemical,52.5
Delhi,2015-07-05,282.0,21.7,26.9,8.9,17.4,25.1,Construction/Dust,52.3
Delhi,2015-07-06,298.0,23.8,25.9,10.1,11.9,28.3,Secondary/Photochemical,53.1
Delhi,2015-07-07,175.0,32.4,14.9,10.5,11.5,30.7,Traffic,52.2
Delhi,2015-07-08,217.0,28.0,20.3,10.3,13.5,27.9,Traffic,50.1
Delhi,2015-07-09,234.0,31.3,21.7,10.2,13.3,23.5,Traffic,60.1
Delhi,2015-07-10,188.0,30.2,24.8,12.7,11.1,21.3,Traffic,57.0
Delhi,2015-07-11,253.0,38.1,13.1,11.4,7.4,30.0,Traffic,60.5
Delhi,2015-07-12,198.0,32.8,11.7,11.4,9.1,35.0,Secondary/Photochemical,52.9
Delhi,2015-07-13,148.0,32.8,16.4,12.6,9.9,28.3,Traffic,55.8
Delhi,2015-07-14,141.0,26.4,28.4,10.4,9.6,25.2,Construction/Dust,52.6
Delhi,2015-07-15,218.0,21.7,29.9,12.0,11.7,24.7,Construction/Dust,56.8
Delhi,2015-07-16,268.0,20.6,26.8,12.5,12.9,27.2,Secondary/Photochemical,50.5
Delhi,2015-07-17,232.0,27.0,18.5,15.2,13.2,26.1,Traffic,51.2
Delhi,2015-07-18,204.0,28.6,20.6,13.4,12.4,25.1,Traffic,54.6
Delhi,2015-07-19,220.0,27.0,21.5,13.1,12.1,26.3,Traffic,50.9
Delhi,2015-07-20,223.0,30.4,16.9,13.4,10.1,29.1,Traffic,51.7
Delhi,2015-07-21,218.0,26.0,21.5,17.6,9.1,25.9,Traffic,50.1
Delhi,2015-07-22,165.0,28.1,21.0,21.6,8.1,21.1,Traffic,58.4
Delhi,2015-07-23,155.0,27.6,22.9,19.1,7.6,22.9,Traffic,56.1
Delhi,2015-07-24,154.0,22.7,22.0,21.1,9.6,24.6,Secondary/Photochemical,52.5
Delhi,2015-07-25,184.0,22.8,22.8,20.6,9.6,24.1,Secondary/Photochemical,51.7
Delhi,2015-07-26,150.0,18.7,31.0,20.8,7.4,22.2,Construction/Dust,61.4
Delhi,2015-07-27,125.0,20.3,30.5,20.4,6.9,21.9,Construction/Dust,61.2
Delhi,2015-07-28,160.0,22.9,32.1,11.0,7.2,26.7,Construction/Dust,57.0
Delhi,2015-07-29,142.0,21.2,29.4,16.6,7.9,24.9,Construction/Dust,55.8
Delhi,2015-07-30,181.0,29.2,29.7,17.1,7.5,16.5,Construction/Dust,50.6
Delhi,2015-07-31,196.0,26.6,32.2,12.9,8.5,19.8,Construction/Dust,57.3
Delhi,2015-08-01,181.0,22.1,31.7,14.8,9.0,22.4,Construction/Dust,62.1
Delhi,2015-08-02,213.0,20.5,29.4,14.2,10.3,25.5,Construction/Dust,55.1
Delhi,2015-08-03,175.0,20.7,30.9,11.4,11.6,25.3,Construction/Dust,57.3
Delhi,2015-08-04,184.0,25.0,25.7,12.4,10.4,26.5,Secondary/Photochemical,51.0
Delhi,2015-08-05,228.0,29.9,20.0,13.3,11.2,25.6,Traffic,55.6
Delhi,2015-08-06,214.0,26.4,19.7,13.9,12.2,27.7,Secondary/Photochemical,51.7
Delhi,2015-08-07,254.0,27.4,22.6,12.3,11.2,26.5,Traffic,51.2
Delhi,2015-08-08,258.0,30.1,21.2,9.6,12.3,26.8,Traffic,54.3
Delhi,2015-08-09,244.0,26.9,23.3,9.0,12.7,28.1,Secondary/Photochemical,51.6
Delhi,2015-08-10,209.0,28.1,17.6,9.3,15.4,29.6,Secondary/Photochemical,52.0
Delhi,2015-08-11,283.0,31.0,18.0,8.9,13.9,28.2,Traffic,53.6
Delhi,2015-08-12,223.0,29.5,18.3,9.4,11.5,31.3,Secondary/Photochemical,52.3
Delhi,2015-08-13,205.0,26.3,19.2,12.5,11.7,30.3,Secondary/Photochemical,55.2
Delhi,2015-08-14,252.0,26.9,22.6,13.0,11.2,26.3,Traffic,50.8
Delhi,2015-08-15,198.0,24.2,21.0,16.0,11.6,27.2,Secondary/Photochemical,53.9
Delhi,2015-08-16,197.0,26.8,18.5,15.7,12.3,26.7,Traffic,50.1
Delhi,2015-08-17,184.0,24.1,23.9,15.6,12.3,24.1,Traffic,50.0
Delhi,2015-08-18,197.0,25.7,21.8,16.4,11.7,24.5,Traffic,51.6
Delhi,2015-08-19,140.0,20.8,35.7,13.3,8.1,22.1,Construction/Dust,67.7
Delhi,2015-08-20,232.0,18.8,33.6,16.1,8.9,22.7,Construction/Dust,64.2
Delhi,2015-08-21,271.0,21.3,28.7,15.0,9.7,25.3,Construction/Dust,54.4
Delhi,2015-08-22,207.0,21.1,30.7,12.4,9.7,26.1,Construction/Dust,56.0
Delhi,2015-08-23,127.0,19.8,36.7,13.6,10.3,19.6,Construction/Dust,72.0
Delhi,2015-08-24,123.0,23.4,31.8,14.9,8.5,21.4,Construction/Dust,60.9
Delhi,2015-08-25,175.0,21.4,32.7,11.8,10.4,23.7,Construction/Dust,61.7
Delhi,2015-08-26,245.0,22.4,32.5,12.1,11.5,21.5,Construction/Dust,63.1
Delhi,2015-08-27,248.0,23.6,27.9,12.9,10.9,24.6,Construction/Dust,54.3
Delhi,2015-08-28,247.0,26.5,22.9,13.8,12.2,24.6,Traffic,52.5
Delhi,2015-08-29,292.0,22.9,26.8,13.3,11.5,25.6,Construction/Dust,51.6
Delhi,2015-08-30,266.0,21.9,28.4,12.7,10.6,26.4,Construction/Dust,52.6
Delhi,2015-08-31,288.0,19.5,28.8,15.7,9.7,26.2,Construction/Dust,53.4
Delhi,2015-09-01,210.0,20.8,27.3,13.0,12.7,26.2,Construction/Dust,51.4
Delhi,2015-09-02,298.0,19.9,26.3,12.9,14.4,26.5,Secondary/Photochemical,50.3
Delhi,2015-09-03,315.0,21.4,25.1,11.9,14.7,26.9,Secondary/Photochemical,52.3
Delhi,2015-09-04,368.0,22.7,23.5,15.8,13.4,24.7,Secondary/Photochemical,51.6
Delhi,2015-09-05,266.0,21.3,23.7,18.6,12.4,23.9,Secondary/Photochemical,50.3
Delhi,2015-09-06,174.0,20.4,25.7,19.5,11.2,23.2,Construction/Dust,53.2
Delhi,2015-09-07,199.0,20.9,28.3,16.2,10.3,24.2,Construction/Dust,55.3
Delhi,2015-09-08,217.0,21.3,27.8,13.6,11.3,26.1,Construction/Dust,52.2
Delhi,2015-09-09,238.0,20.6,27.5,14.3,10.7,27.0,Construction/Dust,50.6
Delhi,2015-09-10,230.0,21.8,26.6,14.1,10.8,26.8,Secondary/Photochemical,50.3
Delhi,2015-09-11,218.0,23.2,24.8,13.5,11.6,26.9,Secondary/Photochemical,52.7
Delhi,2015-09-12,226.0,26.1,19.7,12.9,14.0,27.2,Secondary/Photochemical,51.4
Delhi,2015-09-13,202.0,24.4,20.5,12.6,14.6,27.9,Secondary/Photochemical,54.6
Delhi,2015-09-14,274.0,27.6,19.3,12.2,14.8,26.1,Traffic,52.0
Delhi,2015-09-15,289.0,27.0,18.7,12.4,15.1,26.8,Traffic,50.3
Delhi,2015-09-16,235.0,24.0,21.1,11.5,15.0,28.4,Secondary/Photochemical,55.7
Delhi,2015-09-17,285.0,26.5,20.7,13.3,13.9,25.6,Traffic,51.2
Delhi,2015-09-18,209.0,24.7,24.7,14.6,11.1,24.9,Secondary/Photochemical,50.3
Delhi,2015-09-19,132.0,26.5,20.0,13.1,13.4,26.9,Secondary/Photochemical,50.5
Delhi,2015-09-20,179.0,27.6,22.4,11.5,11.8,26.6,Traffic,51.3
Delhi,2015-09-21,136.0,27.7,23.7,16.6,9.1,22.9,Traffic,55.2
Delhi,2015-09-22,104.0,23.3,24.9,18.6,8.7,24.5,Construction/Dust,50.5
Delhi,2015-09-23,95.0,20.5,32.7,17.9,8.1,20.8,Construction/Dust,65.5
Delhi,2015-09-24,175.0,22.5,27.1,16.2,11.3,22.9,Construction/Dust,55.5
Delhi,2015-09-25,290.0,25.4,24.2,14.1,13.1,23.1,Traffic,51.6
Delhi,2015-09-26,282.0,25.9,24.5,13.2,13.3,23.1,Traffic,51.8
Delhi,2015-09-27,298.0,24.7,24.4,11.6,13.5,25.8,Secondary/Photochemical,51.4
Delhi,2015-09-28,240.0,23.9,26.1,12.9,12.3,24.7,Construction/Dust,51.8
Delhi,2015-09-29,188.0,24.4,24.8,13.4,12.2,25.1,Secondary/Photochemical,50.4
Delhi,2015-09-30,187.0,23.3,26.7,12.3,11.8,25.9,Construction/Dust,51.0
Delhi,2015-10-01,230.0,25.5,20.4,12.8,18.4,22.9,Traffic,53.4
Delhi,2015-10-02,286.0,26.1,19.8,11.3,19.0,23.8,Traffic,53.0
Delhi,2015-10-03,266.0,26.2,22.5,12.8,18.4,20.1,Traffic,54.8
Delhi,2015-10-04,369.0,27.7,19.3,15.3,18.5,19.2,Traffic,60.9
Delhi,2015-10-05,375.0,28.9,16.5,16.6,18.6,19.4,Traffic,62.4
Delhi,2015-10-06,411.0,28.6,20.2,12.9,19.4,18.9,Traffic,60.9
Delhi,2015-10-07,383.0,27.3,19.0,12.9,19.8,21.1,Traffic,58.1
Delhi,2015-10-08,388.0,27.2,17.1,13.4,18.9,23.5,Traffic,54.8
Delhi,2015-10-09,351.0,27.4,18.0,15.0,17.5,22.1,Traffic,56.9
Delhi,2015-10-10,320.0,27.9,16.8,14.5,18.6,22.1,Traffic,57.5
Delhi,2015-10-11,296.0,26.4,18.9,13.3,18.4,23.0,Traffic,54.4
Delhi,2015-10-12,312.0,25.9,19.1,14.8,17.6,22.7,Traffic,54.2
Delhi,2015-10-13,260.0,26.1,17.1,13.3,18.8,24.6,Traffic,52.0
Delhi,2015-10-14,204.0,24.8,18.5,12.7,19.3,24.8,Traffic,50.0
Delhi,2015-10-15,218.0,27.5,18.1,12.1,18.0,24.2,Traffic,54.3
Delhi,2015-10-16,356.0,27.6,17.2,12.9,18.2,24.0,Traffic,54.7
Delhi,2015-10-17,388.0,23.6,14.7,9.9,27.4,24.5,Crop/Biomass Burning,53.8
Delhi,2015-10-18,298.0,25.0,15.4,12.1,21.4,26.2,Secondary/Photochemical,51.6
Delhi,2015-10-19,392.0,26.7,15.6,15.6,18.0,24.1,Traffic,53.4
Delhi,2015-10-20,428.0,27.5,14.5,15.8,18.1,24.2,Traffic,54.3
Delhi,2015-10-21,384.0,26.5,14.6,15.8,18.8,24.3,Traffic,52.9
Delhi,2015-10-22,292.0,25.4,16.9,15.3,20.7,21.7,Traffic,54.8
Delhi,2015-10-23,343.0,26.6,16.5,17.7,17.0,22.2,Traffic,55.7
Delhi,2015-10-24,383.0,28.4,17.0,16.9,18.1,19.6,Traffic,61.4
Delhi,2015-10-25,374.0,26.5,16.7,14.6,18.9,23.4,Traffic,54.0
Delhi,2015-10-26,263.0,23.9,17.6,17.8,17.1,23.5,Traffic,50.5
Delhi,2015-10-27,334.0,24.3,18.6,17.9,17.1,22.0,Traffic,53.0
