City,Ward,AQI,Category,Language,Channel,Message
Mumbai,Bandra West,42.4,Good,English,IVR (voice call script),This is an automated air quality alert for Bandra West. Air quality is good. Enjoy normal outdoor activities. No additional precautions needed for vulnerable groups today.
Mumbai,Bandra West,42.4,Good,Marathi,IVR (voice call script),This is an automated air quality alert for Bandra West. हवेची गुणवत्ता चांगली आहे. सामान्य बाहेरील कामे करा. No additional precautions needed for vulnerable groups today.
Mumbai,Powai,49.5,Good,English,Mobile App,"📱 Air quality is good. Enjoy normal outdoor activities.
No additional precautions needed for vulnerable groups today."
Mumbai,Powai,49.5,Good,Marathi,Mobile App,"📱 हवेची गुणवत्ता चांगली आहे. सामान्य बाहेरील कामे करा.
No additional precautions needed for vulnerable groups today."
Mumbai,Powai,49.5,Good,English,Public Display,"AQI ALERT - Powai - Good
Air quality is good. Enjoy normal outdoor activities."
Mumbai,Powai,49.5,Good,Marathi,Public Display,"AQI ALERT - Powai - Good
हवेची गुणवत्ता चांगली आहे. सामान्य बाहेरील कामे करा."
Mumbai,Powai,49.5,Good,English,IVR (voice call script),This is an automated air quality alert for Powai. Air quality is good. Enjoy normal outdoor activities. No additional precautions needed for vulnerable groups today.
Mumbai,Powai,49.5,Good,Marathi,IVR (voice call script),This is an automated air quality alert for Powai. हवेची गुणवत्ता चांगली आहे. सामान्य बाहेरील कामे करा. No additional precautions needed for vulnerable groups today.
Mumbai,Kurla,59.4,Satisfactory,English,Mobile App,"📱 Air quality is acceptable. Unusually sensitive people should consider limiting prolonged outdoor exertion.
No additional precautions needed for vulnerable groups today."
Mumbai,Kurla,59.4,Satisfactory,Marathi,Mobile App,"📱 आज हवेची गुणवत्ता समाधानकारक आहे.
No additional precautions needed for vulnerable groups today."
Mumbai,Kurla,59.4,Satisfactory,English,Public Display,"AQI ALERT - Kurla - Satisfactory
Air quality is acceptable. Unusually sensitive people should consider limiting prolonged outdoor exertion."
Mumbai,Kurla,59.4,Satisfactory,Marathi,Public Display,"AQI ALERT - Kurla - Satisfactory
आज हवेची गुणवत्ता समाधानकारक आहे."
Mumbai,Kurla,59.4,Satisfactory,English,IVR (voice call script),This is an automated air quality alert for Kurla. Air quality is acceptable. Unusually sensitive people should consider limiting prolonged outdoor exertion. No additional precautions needed for vulnerable groups today.
Mumbai,Kurla,59.4,Satisfactory,Marathi,IVR (voice call script),This is an automated air quality alert for Kurla. आज हवेची गुणवत्ता समाधानकारक आहे. No additional precautions needed for vulnerable groups today.
Mumbai,Colaba,37.8,Good,English,Mobile App,"📱 Air quality is good. Enjoy normal outdoor activities.
No additional precautions needed for vulnerable groups today."
Mumbai,Colaba,37.8,Good,Marathi,Mobile App,"📱 हवेची गुणवत्ता चांगली आहे. सामान्य बाहेरील कामे करा.
No additional precautions needed for vulnerable groups today."
Mumbai,Colaba,37.8,Good,English,Public Display,"AQI ALERT - Colaba - Good
Air quality is good. Enjoy normal outdoor activities."
Mumbai,Colaba,37.8,Good,Marathi,Public Display,"AQI ALERT - Colaba - Good
हवेची गुणवत्ता चांगली आहे. सामान्य बाहेरील कामे करा."
Mumbai,Colaba,37.8,Good,English,IVR (voice call script),This is an automated air quality alert for Colaba. Air quality is good. Enjoy normal outdoor activities. No additional precautions needed for vulnerable groups today.
Mumbai,Colaba,37.8,Good,Marathi,IVR (voice call script),This is an automated air quality alert for Colaba. हवेची गुणवत्ता चांगली आहे. सामान्य बाहेरील कामे करा. No additional precautions needed for vulnerable groups today.
